Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,KO,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Nitrate Concentration,Oxygen Concentration,pH,Salinity
3300001674 assembled B2nonrrna_1000065,B2nonrrna_1000065,"Methyl coenzyme M reductase, alpha subunit",3300001674,B2nonrrna (*) (MER-FS) (assembled),1,1596,532,B2nonrrna_100006,,B2nonrrna_100006,4851,0.45,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===937",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,WWTP,Unclassified,Wastewater,Unclassified,Wastewater treatment plant,,,8.05,
3300005259 assembled Ga0071344_10033885,Ga0071344_10033885,"Methyl coenzyme M reductase, alpha subunit",3300005259,"Freshwater pond sediment microbial communities from Middleton WI, enriched with Humic Acid and Glucose under anaerobic conditions - HA Sample 1 (*) (MER-FS) (assembled)",1,1509,503,Ga0071344_1003388,,Ga0071344_1003388,7478,0.41,18,"COG4058===Methyl coenzyme M reductase, alpha subunit===690",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Sediment,Freshwater,Unclassified,Anaerobic Enrichment Culture,,,,
3300005259 assembled Ga0071344_10563732,Ga0071344_10563732,"Methyl coenzyme M reductase, alpha subunit",3300005259,"Freshwater pond sediment microbial communities from Middleton WI, enriched with Humic Acid and Glucose under anaerobic conditions - HA Sample 1 (*) (MER-FS) (assembled)",1,1683,561,Ga0071344_1056373,,Ga0071344_1056373,3733,0.46,15,"COG4058===Methyl coenzyme M reductase, alpha subunit===630",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Sediment,Freshwater,Unclassified,Anaerobic Enrichment Culture,,,,
3300006418 assembled Ga0099962_10640319,Ga0099962_10640319,"Methyl coenzyme M reductase, alpha subunit",3300006418,"Microbial communities from pig manure storage tank from Sherbrooke, QC, Canada, enriched culture A1 (*) (MER-FS) (assembled)",1,1707,569,Ga0099962_106403,,Ga0099962_106403,44936,0.6,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===883",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Solid waste,Unclassified,Animal waste,Unclassified,Pig Manure,,,,
3300002596 assembled draft_14020291,draft_14020291,"Methyl coenzyme M reductase, alpha subunit",3300002596,"Hydrocarbon contaminated oil fields microbial communities from Alberta, Canada - Microbes in water sample from Medicine Hat oil field -PW_MHGC_2012April10 (*) (MER-FS) (assembled)",1,1647,549,draft_1402029,,draft_1402029,1756,0.46,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===970",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,7.2,
3300005263 assembled Ga0071346_101046710,Ga0071346_101046710,"Methyl coenzyme M reductase, alpha subunit",3300005263,"Freshwater pond sediment microbial communities from Middleton WI, enriched with Humic Acid Only under anaerobic conditions - HA Sample 3 (*) (MER-FS) (assembled)",1,1716,572,Ga0071346_1010467,,Ga0071346_1010467,29061,0.41,35,"COG4058===Methyl coenzyme M reductase, alpha subunit===972",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Sediment,Freshwater,Unclassified,Anaerobic Enrichment Culture,,,,
3300003858 assembled Ga0031656_100123501,Ga0031656_100123501,"Methyl coenzyme M reductase, alpha subunit",3300003858,"Freshwater lake sediment microbial communities from the University of Notre Dame, USA, for methane emissions studies - DIP11 DI (*) (MER-FS) (assembled)",1,1506,502,Ga0031656_10012350,,Ga0031656_10012350,3578,0.57,226,"COG4058===Methyl coenzyme M reductase, alpha subunit===788",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Lake,Freshwater,Sediment,Freshwater lake sediment,,,,
3300001862 assembled anastwen_10045223,anastwen_10045223,"Methyl coenzyme M reductase, alpha subunit",3300001862,"Trichloroethene dechlorinating bioreactor microbial communities from Berkeley, California, USA - LACBS006D (*) (MER-FS) (assembled)",1,1554,518,anastwen_1004522,,anastwen_1004522,2194,0.44,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===960",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioremediation,Chloroethene,Tetrachloroethylene and derivatives,Bioreactor,Trichloroethene dechlorinating bioreactor,,,,
3300006483 assembled Ga0100240_1142951,Ga0100240_1142951,"Methyl coenzyme M reductase, alpha subunit",3300006483,"Microbial communities from pig manure storage tank from Sherbrooke, QC, Canada, enriched culture C4 (*) (MER-FS) (assembled)",1,1530,510,Ga0100240_114295,,Ga0100240_114295,1531,0.48,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===908",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Solid waste,Unclassified,Animal waste,Unclassified,Manure,,,,
3300006094 assembled Ga0082037_10046703,Ga0082037_10046703,"Methyl coenzyme M reductase, alpha subunit",3300006094,"Petroleum reservoir microbial communities from Reconcavo Basin, Brazil, analyzing oil degradation - Bahia-well BA- 1 (*) (MER-FS) (assembled)",1,1665,555,Ga0082037_1004670,,Ga0082037_1004670,3665,0.42,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===891",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Oil,Oil reservoir,Unclassified,Petroleum reservoir ,,,,
3300006097 assembled Ga0082039_10128501,Ga0082039_10128501,"Methyl coenzyme M reductase, alpha subunit",3300006097,"Petroleum reservoir microbial communities from Reconcavo Basin, Brazil, analyzing oil degradation - Bahia-well BA-2 Water (*) (MER-FS) (assembled)",1,1353,451,Ga0082039_1012850,,Ga0082039_1012850,1356,0.52,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===742",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Produced water,Oil reservoir,Unclassified,Petroleum reservoir ,,,,
3300006224 assembled Ga0079037_1001479712,Ga0079037_1001479712,"Methyl coenzyme M reductase, alpha subunit",3300006224,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 4 metaG (*) (MER-FS) (assembled)",1,1662,554,Ga0079037_100147971,,Ga0079037_100147971,2051,0.6,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===878",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Wetlands,Freshwater,Unclassified,Freshwater wetlands,,,,
3300001605 assembled Draft_100069635,Draft_100069635,"Methyl coenzyme M reductase, alpha subunit",3300001605,Tailings pond microbial communities from Northern Alberta - Syncrude Mildred Lake Settling Basin (*) (MER-FS) (assembled),1,1680,560,Draft_10006963,,Draft_10006963,12544,0.6,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===858",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,8.69,
3300005373 assembled Ga0074260_13936,Ga0074260_13936,"Methyl coenzyme M reductase, alpha subunit",3300005373,"Marine sediment archaeal communities from Eel River Basin, California, USA (*) (MER-FS) (assembled)",1,1740,580,Ga0074260_139,,Ga0074260_139,36779,0.43,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===677",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Neritic zone/Coastal water,Marine,Unclassified,Marine sediment,,,,
3300006885 assembled Ga0102512_1058421,Ga0102512_1058421,"Methyl coenzyme M reductase, alpha subunit",3300006885,Final time point T34 (3) (live) benzoate enrichments of Methanogenic microbial communities using Athabasca oil sands as inoculum (*) (MER-FS) (assembled),1,1218,406,Ga0102512_105842,,Ga0102512_105842,1221,0.59,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===688",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Unclassified,Oil reservoir,Unclassified,Oil Sands,,,,
3300002701 assembled draft_14392254,draft_14392254,"Methyl coenzyme M reductase, alpha subunit",3300002701,"Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - Produced water sample 10PW from MHGC oil field - MHGC10PW (*) (MER-FS) (assembled)",1,1680,560,draft_1439225,,draft_1439225,9657,0.58,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===840",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,7.2,
3300005917 assembled Ga0075115_100004056,Ga0075115_100004056,"Methyl coenzyme M reductase, alpha subunit",3300005917,"Saline lake microbial communities from Ace Lake, Antarctica - Antarctic Ace Lake Metagenome 02UKH (*) (MER-FS) (assembled)",1,1704,568,Ga0075115_10000405,,Ga0075115_10000405,21121,0.5,33,"COG4058===Methyl coenzyme M reductase, alpha subunit===900",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Saline,Non-marine Saline and Alkaline,Unclassified,Saline lake,,,,
3300006517 assembled Ga0100964_12057969,Ga0100964_12057969,"Methyl coenzyme M reductase, alpha subunit",3300006517,"Sludge microbial communities from wastewater anaerobic digester in Oakland, CA, USA - phosphite and CO2 enriched (*) (MER-FS) (assembled)",1,1719,573,Ga0100964_120579,,Ga0100964_120579,128789,0.41,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===917",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Unclassified,Anaerobic digestor,Unclassified,Wastewater,,,8,
3300005095 assembled Ga0072504_1423044,Ga0072504_1423044,"Methyl coenzyme M reductase, alpha subunit",3300005095,Hydrothermal chimney microbial communities from the East Pacific Rise - L vent 8 (*) (MER-FS) (assembled),1,1662,554,Ga0072504_142304,,Ga0072504_142304,4783,0.39,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1059",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Unclassified,Marine,Unclassified,marine,,,,
3300005071 assembled Ga0068302_100122725,Ga0068302_100122725,"Methyl coenzyme M reductase, alpha subunit",3300005071,"Porotermes gut microbial communities from Mount Glorious, Queensland, Australia - TN01 (*) (MER-FS) (assembled)",1,1656,552,Ga0068302_10012272,,Ga0068302_10012272,5311,0.34,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===952",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]<<>>KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Arthropoda: Insects,Gut,Digestive system,Unclassified,Porotermes gut,,,,
3300006482 assembled Ga0100242_1144391,Ga0100242_1144391,"Methyl coenzyme M reductase, alpha subunit",3300006482,"Microbial communities from pig manure storage tank from Sherbrooke, QC, Canada, enriched culture C10 (*) (MER-FS) (assembled)",1,1707,569,Ga0100242_114439,,Ga0100242_114439,8115,0.61,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===885",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Solid waste,Unclassified,Animal waste,Unclassified,Manure,,,,
3300005882 assembled Ga0080455_10125452,Ga0080455_10125452,"Methyl coenzyme M reductase, alpha subunit",3300005882,"Hydrocarbon microbial community from Halfdan Field, North Sea, Denmark - MHF (*) (MER-FS) (assembled)",1,1662,554,Ga0080455_1012545,,Ga0080455_1012545,5105,0.39,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1004",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Deep subsurface,Marine,Hydrocarbon,water,,,,
3300001580 assembled Draft_100040189,Draft_100040189,"Methyl coenzyme M reductase, alpha subunit",3300001580,"Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - Microbes from Suncor taillings pond 6 2012TP6_6 (*) (MER-FS) (assembled)",1,1704,568,Draft_10004018,,Draft_10004018,14365,0.59,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===887",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,6.8-7.1,
3300005326 assembled Ga0074195_10120201,Ga0074195_10120201,"Methyl coenzyme M reductase, alpha subunit",3300005326,"Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample HSE6-23 (*) (MER-FS) (assembled)",1,1269,423,Ga0074195_1012020,,Ga0074195_1012020,4648,0.53,13,"COG4058===Methyl coenzyme M reductase, alpha subunit===672",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Groundwater,Deep subsurface,Contaminated,Bioremediated contaminated groundwater,,,,
3300006064 assembled Ga0081375_1051911,Ga0081375_1051911,"Methyl coenzyme M reductase, alpha subunit",3300006064,"Biogas reactor microbial communities from As, Norway - D1BOC_Hiseq_PacBio7C99_UnincorpCap3 (*) (MER-FS) (assembled)",1,1662,554,Ga0081375_10519,,Ga0081375_10519,10697,0.49,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1044",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Biogas,Anaerobic,Unclassified,Biogas reactor,,,,
3300006650 assembled Ga0101722_1043392,Ga0101722_1043392,"Methyl coenzyme M reductase, alpha subunit",3300006650,"T5 (1) (Live) Syntrophic microbial communities from anoxic layer of the sediment of River Tyne near Scotswood, United Kingdom - benzoate enriched in lab, transferred 6 times (*) (MER-FS) (assembled)",1,1506,502,Ga0101722_104339,,Ga0101722_104339,1623,0.58,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===772",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,River,Freshwater,Sediment,Sediment,,,,
3300006483 assembled Ga0100240_1187352,Ga0100240_1187352,"Methyl coenzyme M reductase, alpha subunit",3300006483,"Microbial communities from pig manure storage tank from Sherbrooke, QC, Canada, enriched culture C4 (*) (MER-FS) (assembled)",1,1464,488,Ga0100240_118735,,Ga0100240_118735,1995,0.62,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===813",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Solid waste,Unclassified,Animal waste,Unclassified,Manure,,,,
3300005325 assembled Ga0074199_1000134188,Ga0074199_1000134188,"Methyl coenzyme M reductase, alpha subunit",3300005325,"Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample SAE3-47 (*) (MER-FS) (assembled)",1,1710,570,Ga0074199_1000134,,Ga0074199_1000134,152917,0.57,19,"COG4058===Methyl coenzyme M reductase, alpha subunit===884",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Groundwater,Deep subsurface,Contaminated,Bioremediated contaminated groundwater,,,,
3300006669 assembled Ga0101735_1002074,Ga0101735_1002074,"Methyl coenzyme M reductase, alpha subunit",3300006669,"T14 (1) (Live), Syntrophic microbial communities from anoxic layer of the sediment of River Tyne near Scotswood, United Kingdom - benzoate enriched in lab, transferred 6 times (*) (MER-FS) (assembled)",1,1680,560,Ga0101735_100207,,Ga0101735_100207,10883,0.53,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===848",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,River,Freshwater,Sediment,Sediment,,,,
3300001567 assembled Draft_1000116731,Draft_1000116731,"Methyl coenzyme M reductase, alpha subunit",3300001567,"Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada (*) (MER-FS) (assembled)",1,1680,560,Draft_10001167,,Draft_10001167,39786,0.53,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===866",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,,
3300001567 assembled Draft_100052414,Draft_100052414,"Methyl coenzyme M reductase, alpha subunit",3300001567,"Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada (*) (MER-FS) (assembled)",1,1707,569,Draft_10005241,,Draft_10005241,12014,0.62,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===887",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,,
3300005323 assembled Ga0074198_100009093,Ga0074198_100009093,"Methyl coenzyme M reductase, alpha subunit",3300005323,"Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample SAE3-23 (*) (MER-FS) (assembled)",1,1710,570,Ga0074198_1000090,,Ga0074198_1000090,137583,0.51,25,"COG4058===Methyl coenzyme M reductase, alpha subunit===890",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Groundwater,Deep subsurface,Contaminated,Bioremediated contaminated groundwater,,,,
3300004066 assembled Ga0055484_100023603,Ga0055484_100023603,"Methyl coenzyme M reductase, alpha subunit",3300004066,"Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - RushMan_CattailNLC_D2 (*) (MER-FS) (assembled)",1,1395,465,Ga0055484_10002360,,Ga0055484_10002360,2584,0.57,6,"COG4058===Methyl coenzyme M reductase, alpha subunit===717",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Wetlands,Marine,Unclassified,Natural and restored wetlands,,,,
3300000032 assembled Draft_00196721,Draft_00196721,"Methyl coenzyme M reductase, alpha subunit",3300000032,"Petrochemical wastewater microbial community from Syncrude tailings pond, Wood Buffalo, Alberta, Canada (*) (MER-FS) (assembled)",1,1707,569,Draft_c0019672,,Draft_c0019672,5159,0.59,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===883",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Lab enrichment,Anaerobic media,Defined media,Unclassified,Hydrocarbon resource environments,,,,
3300002694 assembled draft_1002333,draft_1002333,"Methyl coenzyme M reductase, alpha subunit",3300002694,"Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - Biofilm from sections of failed pipe - PAS_821 (*) (MER-FS) (assembled)",1,1656,552,draft_100233,,draft_100233,7242,0.41,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===959",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,,
3300005263 assembled Ga0071346_10084628,Ga0071346_10084628,"Methyl coenzyme M reductase, alpha subunit",3300005263,"Freshwater pond sediment microbial communities from Middleton WI, enriched with Humic Acid Only under anaerobic conditions - HA Sample 3 (*) (MER-FS) (assembled)",1,1653,551,Ga0071346_1008462,,Ga0071346_1008462,10064,0.42,27,"COG4058===Methyl coenzyme M reductase, alpha subunit===944",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Sediment,Freshwater,Unclassified,Anaerobic Enrichment Culture,,,,
3300001592 assembled Draft_100193036,Draft_100193036,"Methyl coenzyme M reductase, alpha subunit",3300001592,"Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - Microbes in water sample from Medicine Hat oil field -PW_MHGC_2012April2: (*) (MER-FS) (assembled)",1,1461,487,Draft_10019303,,Draft_10019303,5333,0.58,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===754",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,7.2,
3300005667 assembled Ga0074305_1257140,Ga0074305_1257140,"Methyl coenzyme M reductase, alpha subunit",3300005667,Metagenomic data from Methanobrevibacter acididurans DSM 15163 culture (*) (MER-FS) (assembled),1,1659,553,Ga0074305_1257,,Ga0074305_1257,640761,0.28,175,"COG4058===Methyl coenzyme M reductase, alpha subunit===919",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,anaerobic digester,,,,
3300004628 assembled Ga0070399_10350352,Ga0070399_10350352,"Methyl coenzyme M reductase, alpha subunit",3300004628,"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA - Biofuel metagenome 4 (version 1) (*) (MER-FS) (assembled)",1,1653,551,Ga0070399_1035035,,Ga0070399_1035035,2238,0.41,5,"COG4058===Methyl coenzyme M reductase, alpha subunit===988",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Bioreactor,,,,
