Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,KO,NCBI Assembly Accession,NCBI Bioproject Accession,NCBI Biosample Accession,NCBI GenBank ID,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Nitrate Concentration,Oxygen Concentration,pH,Salinity
3300002505 assembled JGI24704J35079_100041991,JGI24704J35079_100041991,"Methyl coenzyme M reductase, alpha subunit",3300002505,"Neocapritermes taracua P3 segment gut microbial communities from Petit-Saut dam, French Guiana - Nt197 P3 (*) (MER-FS) (assembled)",2,1653,551,JGI24704J35079_10004199,,JGI24704J35079_10004199,5704,0.34,28,"COG4058===Methyl coenzyme M reductase, alpha subunit===963",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366256,SAMN06268356,,Host-associated,Arthropoda: Insects,Gut,Digestive system,Unclassified,Termite gut,,,,
3300003541 assembled JGI20214J51650_102411841,JGI20214J51650_102411841,"Methyl coenzyme M reductase, alpha subunit",3300003541,"Wetland sediment microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Aug2011 Site B2 Bulk v4 (version 7) (*) (MER-FS) (assembled)",2,1248,416,JGI20214J51650_10241184,,JGI20214J51650_10241184,1249,0.59,22,"COG4058===Methyl coenzyme M reductase, alpha subunit===655",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA362960,SAMN06251439,,Environmental,Aquatic,Wetlands,Marine,Sediment,Wetland,,,,
3300001881 assembled JGI24728J21555_1000024120,JGI24728J21555_1000024120,"Methyl coenzyme M reductase, alpha subunit",3300001881,"Bioremediated contaminated groundwater microbial communities from EPA Superfund site, New Mexico - SAE3-05 (*) (MER-FS) (assembled)",2,1689,563,JGI24728J21555_1000024,,JGI24728J21555_1000024,106799,0.55,163,"COG4058===Methyl coenzyme M reductase, alpha subunit===884",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366141,SAMN06268374,,Environmental,Aquatic,Groundwater,Deep subsurface,Contaminated,Bioremediated contaminated groundwater,,,,
3300000840 assembled WSSedA1B2DRAFT_10013881,WSSedA1B2DRAFT_10013881,"Methyl coenzyme M reductase, alpha subunit",3300000840,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Bulk v6 (version 6) (*) (MER-FS) (assembled)",2,1689,563,WSSedA1B2DRAFT_1001388,,WSSedA1B2DRAFT_1001388,4073,0.56,68,"COG4058===Methyl coenzyme M reductase, alpha subunit===882",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA336806,SAMN05518439,,Environmental,Aquatic,Wetlands,Marine,Sediment,Wetland,,,,
3300002163 assembled JGI24707J26582_1000210416,JGI24707J26582_1000210416,"Methyl coenzyme M reductase, alpha subunit",3300002163,Biogas fermentation microbial communities from Germany - Plant 1 DNA1 (*) (MER-FS) (assembled),2,1515,505,JGI24707J26582_10002104,,JGI24707J26582_10002104,15223,0.57,195,"COG4058===Methyl coenzyme M reductase, alpha subunit===788",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA311382,SAMN04486029,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Biogas fermentantion,,,7.7,
3300001446 assembled JGI20130J15133_10076653,JGI20130J15133_10076653,"Methyl coenzyme M reductase, alpha subunit",3300001446,"Sulfidic aquatic microbial communities from Washburn Spring, Yellowstone National Park, USA - WS (*) (MER-FS) (assembled)",2,1671,557,JGI20130J15133_1007665,,JGI20130J15133_1007665,5961,0.5,25,"COG4058===Methyl coenzyme M reductase, alpha subunit===928",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366315,SAMN06268703,,Environmental,Aquatic,Hot (42-90C),Thermal springs,Acidic,Sulfidic aquatic,,,,
3300002172 assembled JGI24730J26740_1000003236,JGI24730J26740_1000003236,"Methyl coenzyme M reductase, alpha subunit",3300002172,"Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample SAE3-47 (*) (MER-FS) (assembled)",2,1707,569,JGI24730J26740_1000003,,JGI24730J26740_1000003,275825,0.56,596,"COG4058===Methyl coenzyme M reductase, alpha subunit===890",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366143,SAMN06268376,,Environmental,Aquatic,Groundwater,Deep subsurface,Contaminated,Bioremediated contaminated groundwater,,,,
3300000103 assembled IMNBL5_100009311,IMNBL5_100009311,"Methyl coenzyme M reductase, alpha subunit",3300000103,Passalidae beetle gut microbial communities from Costa Rica -Larvae (5ML+5BL) v1 (*) (MER-FS) (assembled),2,1719,573,IMNBL5_c1000093,,IMNBL5_c1000093,27310,0.4,39,"COG4058===Methyl coenzyme M reductase, alpha subunit===917",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA337868,SAMN05518512,,Host-associated,Arthropoda: Insects,Gut,Larva,Unclassified,Passalidae beetle gut ,,,,
3300002469 assembled JGI24701J34945_100341982,JGI24701J34945_100341982,"Methyl coenzyme M reductase, alpha subunit",3300002469,"Microcerotermes parvus P3 segment gut microbial communities from Pointe-Noire, Republic of the Congo - Th196 P3 (*) (MER-FS) (assembled)",2,1512,504,JGI24701J34945_10034198,,JGI24701J34945_10034198,1980,0.46,23,"COG4058===Methyl coenzyme M reductase, alpha subunit===790",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA405704,SAMN07632895,,Host-associated,Arthropoda: Insects,Gut,Digestive system,Unclassified,Termite gut,,,,
3300001866 assembled JGI24729J20445_100032116,JGI24729J20445_100032116,"Methyl coenzyme M reductase, alpha subunit",3300001866,"Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample SAE3-23 (*) (MER-FS) (assembled)",2,1680,560,JGI24729J20445_1000321,,JGI24729J20445_1000321,30336,0.52,112,"COG4058===Methyl coenzyme M reductase, alpha subunit===847",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366142,SAMN06268375,,Environmental,Aquatic,Groundwater,Deep subsurface,Contaminated,Bioremediated contaminated groundwater,,,,
3300002498 assembled TOLCLC_10000121356,TOLCLC_10000121356,"Methyl coenzyme M reductase, alpha subunit",3300002498,"Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada (*) (MER-FS) (assembled)",2,1701,567,TOLCLC_10000121,,TOLCLC_10000121,494189,0.51,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===895",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,,
3300003664 assembled OilBA1_100024826,OilBA1_100024826,"Methyl coenzyme M reductase, alpha subunit",3300003664,"Petroleum reservoir microbial communities from Reconcavo Basin, Brazil, analyzing oil degradation - Bahia-well BA- 1 (*) (MER-FS) (assembled)",2,1674,558,OilBA1_1000248,,OilBA1_1000248,69670,0.57,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===877",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Oil,Oil reservoir,Unclassified,Petroleum reservoir ,,,,
3300002504 assembled JGI24705J35276_122360102,JGI24705J35276_122360102,"Methyl coenzyme M reductase, alpha subunit",3300002504,"Neocapritermes taracua P4 segment gut microbial communities from Petit-Saut dam, French Guiana - Nt197 P4 (*) (MER-FS) (assembled)",2,1665,555,JGI24705J35276_12236010,,JGI24705J35276_12236010,7328,0.54,57,"COG4058===Methyl coenzyme M reductase, alpha subunit===810",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366257,SAMN06268357,,Host-associated,Arthropoda: Insects,Gut,Digestive system,Unclassified,Termite gut,,,,
3300002498 assembled TOLCLC_100384118,TOLCLC_100384118,"Methyl coenzyme M reductase, alpha subunit",3300002498,"Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada (*) (MER-FS) (assembled)",2,1719,573,TOLCLC_10038411,,TOLCLC_10038411,13208,0.45,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===925",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,,
3300002462 assembled JGI24702J35022_100823722,JGI24702J35022_100823722,"Methyl coenzyme M reductase, alpha subunit",3300002462,"Microcerotermes parvus P4 segment gut microbial communities from Pointe-Noire, Republic of the Congo - Th196 P4 (*) (MER-FS) (assembled)",2,1281,427,JGI24702J35022_10082372,,JGI24702J35022_10082372,1744,0.49,18,"COG4058===Methyl coenzyme M reductase, alpha subunit===642",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366254,SAMN06268354,,Host-associated,Arthropoda: Insects,Hindgut,Digestive system,P4 segment,Termite gut,,,,
3300001095 assembled JGI12104J13512_100036932,JGI12104J13512_100036932,"Methyl coenzyme M reductase, alpha subunit",3300001095,Wastewater bioreactor microbial communities from Singapore -Terephthalate degrading community TA Biofilm (*) (MER-FS) (assembled),2,1671,557,JGI12104J13512_1000369,,JGI12104J13512_1000369,41414,0.58,62,"COG4058===Methyl coenzyme M reductase, alpha subunit===488",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA336652,SAMN07138585,,Engineered,Bioremediation,Wastewater,Terephthalate,Unclassified,Wastewater bioreactor,,,,
3300002127 assembled JGI20164J26629_100011037,JGI20164J26629_100011037,"Methyl coenzyme M reductase, alpha subunit",3300002127,"Cubitermes ugandensis P3 segment gut microbial communities from Kakamega Forest, Kenya - Cu122 P3 (*) (MER-FS) (assembled)",2,1704,568,JGI20164J26629_10001103,,JGI20164J26629_10001103,10192,0.43,34,"COG4058===Methyl coenzyme M reductase, alpha subunit===888",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366375,SAMN06268478,,Host-associated,Arthropoda: Insects,Gut,Digestive system,Unclassified,Termite gut,,,,
3300001784 assembled JGI20225J20221_1000054262,JGI20225J20221_1000054262,"Methyl coenzyme M reductase, alpha subunit",3300001784,"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA - Biofuel metagenome 4 (*) (MER-FS) (assembled)",2,1656,552,JGI20225J20221_1000054,,JGI20225J20221_1000054,365682,0.4,201,"COG4058===Methyl coenzyme M reductase, alpha subunit===972",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA308495,SAMN04396145,,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Bioreactor,,,,
3300002963 assembled JGI1652J44930_1000001361,JGI1652J44930_1000001361,"Methyl coenzyme M reductase, alpha subunit",3300002963,"Feedstock adapted compost microbial communities from Newby Island compost facility, Milpitas, CA, USA - starting DNA (*) (MER-FS) (assembled)",2,1653,551,JGI1652J44930_10000013,,JGI1652J44930_10000013,62024,0.41,38,"COG4058===Methyl coenzyme M reductase, alpha subunit===1016",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA337767,SAMN05518096,,Engineered,Solid waste,Composting,Feedstock,Unclassified,Feedstock adapted compost,,,,
3300003649 assembled JGI26787J52750_1034282,JGI26787J52750_1034282,"Methyl coenzyme M reductase, alpha subunit",3300003649,"Hot spring water microbial communities from Wilbur Hot Springs, California, USA - Wilbur Geyser funnel - 6/17/14 (*) (MER-FS) (assembled)",2,1203,401,JGI26787J52750_103428,,JGI26787J52750_103428,1711,0.45,28,"COG4058===Methyl coenzyme M reductase, alpha subunit===688",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA365769,SAMN06267517,,Environmental,Aquatic,Hot (42-90C),Thermal springs,Unclassified,Aquatic,,,7.98,
3300001148 assembled More10kbN_10002012,More10kbN_10002012,"Methyl coenzyme M reductase, alpha subunit",3300001148,Rec.More10kb (*) (MER-FS) (assembled),2,1662,554,More10kbN_1000201,,More10kbN_1000201,10947,0.36,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===988",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Modeled,Unclassified,Unclassified,Unclassified,Recombinated,,,,
3300000062 assembled IMNBL1DRAFT_000000161,IMNBL1DRAFT_000000161,"Methyl coenzyme M reductase, alpha subunit",3300000062,Passalidae beetle gut microbial communities from Costa Rica -Larvae (1ML+1BSL) (*) (MER-FS) (assembled),2,1665,555,IMNBL1DRAFT_c0000001,,IMNBL1DRAFT_c0000001,477011,0.5,240,"COG4058===Methyl coenzyme M reductase, alpha subunit===810",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA337864,SAMN05518510,,Host-associated,Arthropoda: Insects,Gut,Larva,Unclassified,Passalidae beetle gut ,,,,
3300001784 assembled JGI20225J20221_100062520,JGI20225J20221_100062520,"Methyl coenzyme M reductase, alpha subunit",3300001784,"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA - Biofuel metagenome 4 (*) (MER-FS) (assembled)",2,1713,571,JGI20225J20221_1000625,,JGI20225J20221_1000625,53869,0.41,64,"COG4058===Methyl coenzyme M reductase, alpha subunit===964",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA308495,SAMN04396145,,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Bioreactor,,,,
3300001095 assembled JGI12104J13512_10104552,JGI12104J13512_10104552,"Methyl coenzyme M reductase, alpha subunit",3300001095,Wastewater bioreactor microbial communities from Singapore -Terephthalate degrading community TA Biofilm (*) (MER-FS) (assembled),2,1653,551,JGI12104J13512_1010455,,JGI12104J13512_1010455,2907,0.41,16,"COG4058===Methyl coenzyme M reductase, alpha subunit===971",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA336652,SAMN07138585,,Engineered,Bioremediation,Wastewater,Terephthalate,Unclassified,Wastewater bioreactor,,,,
3300002446 assembled NAPDCCLC_100498224,NAPDCCLC_100498224,"Methyl coenzyme M reductase, alpha subunit",3300002446,"Petrochemical wastewater microbial community from Syncrude tailings pond, Wood Buffalo, Alberta, Canada (*) (MER-FS) (assembled)",2,1665,555,NAPDCCLC_10049822,,NAPDCCLC_10049822,8437,0.59,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===851",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Lab enrichment,Anaerobic media,Defined media,Unclassified,Hydrocarbon resource environments,,,,
3300001446 assembled JGI20130J15133_100033938,JGI20130J15133_100033938,"Methyl coenzyme M reductase, alpha subunit",3300001446,"Sulfidic aquatic microbial communities from Washburn Spring, Yellowstone National Park, USA - WS (*) (MER-FS) (assembled)",2,1665,555,JGI20130J15133_1000339,,JGI20130J15133_1000339,44148,0.43,232,"COG4058===Methyl coenzyme M reductase, alpha subunit===913",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366315,SAMN06268703,,Environmental,Aquatic,Hot (42-90C),Thermal springs,Acidic,Sulfidic aquatic,,,,
3300002180 assembled JGI24724J26744_100470461,JGI24724J26744_100470461,"Methyl coenzyme M reductase, alpha subunit",3300002180,"Oil polluted marine microbial communities from Coal Oil Point, Santa Barbara, California, USA - Sample 7 (*) (MER-FS) (assembled)",2,1410,470,JGI24724J26744_10047046,,JGI24724J26744_10047046,1848,0.49,23,"COG4058===Methyl coenzyme M reductase, alpha subunit===405",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366139,SAMN06268372,,Environmental,Aquatic,Oil seeps,Marine,Unclassified,Marine,,,,
3300002174 assembled JGI24710J26742_1000332910,JGI24710J26742_1000332910,"Methyl coenzyme M reductase, alpha subunit",3300002174,Biogas fermentation microbial communities from Germany - Plant 2 DNA2 (*) (MER-FS) (assembled),2,1653,551,JGI24710J26742_10003329,,JGI24710J26742_10003329,13705,0.37,19,"COG4058===Methyl coenzyme M reductase, alpha subunit===1000",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA311379,SAMN04486025,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Biogas fermentantion,,,7.8,
3300000504 assembled M940CN_10139661,M940CN_10139661,"Methyl coenzyme M reductase, alpha subunit",3300000504,"Microbial Communities from Little Sippewissett Salt Marsh, Woods Hole, MA that are anoxygenic and photosynthetic, Marine photosynthetic community that grows at 940nm (*) (MER-FS) (assembled)",2,1404,468,M940CN_1013966,,M940CN_1013966,6707,0.46,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===854",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Intertidal zone,Marine,Salt marsh,Salt Marsh,,,,
3300003667 assembled LSCM3L_100127610,LSCM3L_100127610,"Methyl coenzyme M reductase, alpha subunit",3300003667,Lithgow State Coal Mine Metagenomic Study (LSCM 3 Late (Sample 2)) (*) (MER-FS) (assembled),2,1713,571,LSCM3L_1001276,,LSCM3L_1001276,12369,0.41,59,"COG4058===Methyl coenzyme M reductase, alpha subunit===964",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Groundwater,Freshwater,Coalbed water,Coalbed water,,,,
3300002462 assembled JGI24702J35022_100101581,JGI24702J35022_100101581,"Methyl coenzyme M reductase, alpha subunit",3300002462,"Microcerotermes parvus P4 segment gut microbial communities from Pointe-Noire, Republic of the Congo - Th196 P4 (*) (MER-FS) (assembled)",2,1347,449,JGI24702J35022_10010158,,JGI24702J35022_10010158,5272,0.34,54,"COG4058===Methyl coenzyme M reductase, alpha subunit===744",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366254,SAMN06268354,,Host-associated,Arthropoda: Insects,Hindgut,Digestive system,P4 segment,Termite gut,,,,
3300000062 assembled IMNBL1DRAFT_000047919,IMNBL1DRAFT_000047919,"Methyl coenzyme M reductase, alpha subunit",3300000062,Passalidae beetle gut microbial communities from Costa Rica -Larvae (1ML+1BSL) (*) (MER-FS) (assembled),2,1656,552,IMNBL1DRAFT_c0000479,,IMNBL1DRAFT_c0000479,33357,0.49,62,"COG4058===Methyl coenzyme M reductase, alpha subunit===818",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA337864,SAMN05518510,,Host-associated,Arthropoda: Insects,Gut,Larva,Unclassified,Passalidae beetle gut ,,,,
3300001682 assembled SAHD_10000722116,SAHD_10000722116,"Methyl coenzyme M reductase, alpha subunit",3300001682,"Activated sludge microbial communities from the University of Illinois, USA - seeded with cattle waste (*) (MER-FS) (assembled)",2,1659,553,SAHD_10000722,,SAHD_10000722,121494,0.55,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===791",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Wastewater,Dissolved organics (anaerobic),Nutrient removal,Activated sludge,Activated sludge,,,,
3300000838 assembled JGI996J12353_100009311,JGI996J12353_100009311,"Methyl coenzyme M reductase, alpha subunit",3300000838,Passalidae beetle gut microbial communities from Costa Rica -Larvae (5ML+5BL) v2 (version 2) (*) (MER-FS) (assembled),2,1719,573,JGI996J12353_1000093,,JGI996J12353_1000093,27310,0.4,39,"COG4058===Methyl coenzyme M reductase, alpha subunit===917",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA337868,SAMN05518512,,Host-associated,Arthropoda: Insects,Gut,Larva,Unclassified,Passalidae beetle gut ,,,,
3300000114 assembled IMNBL3_100209822,IMNBL3_100209822,"Methyl coenzyme M reductase, alpha subunit",3300000114,Passalidae beetle gut microbial communities from Costa Rica -Larvae (3ML+3BL) v1 (*) (MER-FS) (assembled),2,1719,573,IMNBL3_c10020982,,IMNBL3_c10020982,4140,0.47,714,"COG4058===Methyl coenzyme M reductase, alpha subunit===913",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA337866,SAMN05518511,,Host-associated,Arthropoda: Insects,Gut,Larva,Unclassified,Passalidae beetle gut ,,,,
3300001095 assembled JGI12104J13512_100050523,JGI12104J13512_100050523,"Methyl coenzyme M reductase, alpha subunit",3300001095,Wastewater bioreactor microbial communities from Singapore -Terephthalate degrading community TA Biofilm (*) (MER-FS) (assembled),2,1707,569,JGI12104J13512_1000505,,JGI12104J13512_1000505,34961,0.58,188,"COG4058===Methyl coenzyme M reductase, alpha subunit===882",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA336652,SAMN07138585,,Engineered,Bioremediation,Wastewater,Terephthalate,Unclassified,Wastewater bioreactor,,,,
