GeneCart_GenomeID,1,Gene ID,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,NCBI Phylum,NCBI Class,NCBI Order,NCBI Family,NCBI Genus,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype,Specific Ecosystem,,Habitat,NCBI Species
3300006094,assembled,ASA129_01102430,Permanent Draft,"Petroleum reservoir microbial communities from Reconcavo Basin, Brazil, analyzing oil degradation","Petroleum reservoir microbial communities from Reconcavo Basin, Brazil, analyzing oil degradation - Bahia-well BA- 1",,3300006094,Environmental,Terrestrial,Oil reservoir,Oil,Unclassified,Environmental,Terrestrial,Oil reservoir,Oil,Unclassified,,Petroleum reservoir,"Petroleum reservoir microbial communities from Reconcavo Basin, Brazil, analyzing oil degradation"
3300013880,assembled,B_all_v_01139240,Permanent Draft,Microbial communities from methanogenic microcosms from oil petroleum samples,"laboratory microbial enrichments from Reconcavo Basin petroleum reservoir, Newcastle Upon Tyne, UK - 15 gl 40C L3 15gl 40C L3",UNIVERSIDADE DE SAO PAULO,3300013880,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,,Laboratory microcosms,Microbial communities from methanogenic microcosms from oil petroleum samples
3300013878,assembled,B2nonrrna_1000055,Permanent Draft,Microbial communities from methanogenic microcosms from oil petroleum samples,"laboratory microbial enrichments from Reconcavo Basin petroleum reservoir, Newcastle Upon Tyne, UK - 60 gl 50C 60gl 50C",UNIVERSIDADE DE SAO PAULO,3300013878,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,,Laboratory microcosms,Microbial communities from methanogenic microcosms from oil petroleum samples
3300013876,assembled,B2nonrrna_1000065,Permanent Draft,Microbial communities from methanogenic microcosms from oil petroleum samples,"laboratory microbial enrichments from Reconcavo Basin petroleum reservoir, Newcastle Upon Tyne, UK - 15 gl 50C L3 15gl 50C L3",UNIVERSIDADE DE SAO PAULO,3300013876,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,,Laboratory microcosms,Microbial communities from methanogenic microcosms from oil petroleum samples
3300006096,assembled,B3_GZBA_v_00005570,Permanent Draft,"Petroleum reservoir microbial communities from Reconcavo Basin, Brazil, analyzing oil degradation","Petroleum reservoir microbial communities from Reconcavo Basin, Brazil, analyzing oil degradation - Bahia-well BA-2",,3300006096,Environmental,Terrestrial,Oil reservoir,Oil,Unclassified,Environmental,Terrestrial,Oil reservoir,Oil,Unclassified,,Petroleum reservoir,"Petroleum reservoir microbial communities from Reconcavo Basin, Brazil, analyzing oil degradation"
3300025758,assembled,B3_GZOS_V_00067770,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Marine hydrothermal vent microbial communities from Guaymas Basin, Gulf of California to study Microbial Dark Matter (Phase II) - Marker 14 Mat core 4571-4 33-36 cm metaG (SPAdes) (version 3)",DOE Joint Genome Institute  (JGI),3300025758,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,Marine hydrothermal vent,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)
8072716095,assembled,b3_nosca_v_01006440,,,,,,,,,,,,,,,,,,
3300050342,assembled,b3_nosca_v_01157460,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from Yellowstone National Park, WY, United States - YNP-CB-052-1 ( (v2) (version 2)",DOE Joint Genome Institute  (JGI),3300050342,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,,sediment,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States"
3300006972,assembled,B3_v_00041940,Permanent Draft,"Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA","Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA - NGEE PermafrostAB136-A",DOE Joint Genome Institute  (JGI),3300006972,Environmental,Terrestrial,Soil,Wetlands,Peat,Environmental,Terrestrial,Soil,Wetlands,Peat,,Arctic peat soil,"Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA"
2682575398,assembled,B3_v_00488810,,,,,,,,,,,,,,,,,,
3300035492,assembled,B4_c_00537860,Permanent Draft,Methane metabolizing microbial communities from different methane-rich environments from various locations,"Tar microbial communities from Pitch Lake, Trinidad and Tobago - PitchLake_TarA_star",DOE Joint Genome Institute  (JGI),3300035492,Environmental,Terrestrial,Asphalt lakes,Tar,Unclassified,Environmental,Terrestrial,Asphalt lakes,Tar,Unclassified,,tar,Methane metabolizing microbial communities from different methane-rich environments from various locations
3300027852,assembled,Ba1_10001874,Permanent Draft,Marine microbial communities from the Santa Barbara Channel oil seeps,"Oil polluted marine microbial communities from Coal Oil Point, Santa Barbara, California, USA - Sample 7 (SPAdes) (version 2)",DOE Joint Genome Institute  (JGI),3300027852,Environmental,Aquatic,Marine,Oil seeps,Unclassified,Environmental,Aquatic,Marine,Oil seeps,Unclassified,,Marine,Marine microbial communities from the Santa Barbara Channel oil seeps
3300042089,assembled,Ba1_100026726,Permanent Draft,"Sediment microbial communities from Haima cold seep, South China Sea, China","Sediment microbial communities from Haima cold seep, South China Sea, China - SY70.4.11_HM2C",Shanghai Majorbio Bio-pharm Technology Co.,3300042089,Environmental,Aquatic,Marine,Cold seeps,Sediment,Environmental,Aquatic,Marine,Cold seeps,Sediment,,Sediment,"Sediment microbial communities from Haima cold seep, South China Sea, China"
3300010332,assembled,Ba1_100062212,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Marine hydrothermal vent microbial communities from Guaymas Basin, Gulf of California to study Microbial Dark Matter (Phase II) - Marker 14 Mat core 4571-4 3-6 cm metaG",DOE Joint Genome Institute  (JGI),3300010332,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,Marine hydrothermal vent,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)
3300002180,assembled,Ba1_10012221,Permanent Draft,Marine microbial communities from the Santa Barbara Channel oil seeps,"Oil polluted marine microbial communities from Coal Oil Point, Santa Barbara, California, USA - Sample 7",DOE Joint Genome Institute  (JGI),3300002180,Environmental,Aquatic,Marine,Oil seeps,Unclassified,Environmental,Aquatic,Marine,Oil seeps,Unclassified,,Marine,Marine microbial communities from the Santa Barbara Channel oil seeps
3300010264,assembled,Ba1_10012615,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Marine hydrothermal vent microbial communities from Guaymas Basin, Gulf of California to study Microbial Dark Matter (Phase II) - Marker 14 Mat core 4571-4 33-36 cm metaG",DOE Joint Genome Institute  (JGI),3300010264,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,Marine hydrothermal vent,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)
3300037583,assembled,Ba1_100140210,Permanent Draft,Marine microbial and viral communities from the Juan de Fuca Ridge flank of the Northeast Pacific Ocean,Crustal fluids microbial communities from the Juan de Fuca Ridge flank of the Northeast Pacific Ocean - JdFR11_16,DOE Joint Genome Institute  (JGI),3300037583,Environmental,Aquatic,Marine,Oceanic,Crustal Fluids,Environmental,Aquatic,Marine,Oceanic,Crustal Fluids,,crustal fluids,Marine microbial and viral communities from the Juan de Fuca Ridge flank of the Northeast Pacific Ocean
3300002481,assembled,Ba1_100394021,Permanent Draft,"Deep subsurface and oceanic microbial communities from Witwatersrand Basin, South Africa, and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field","Deep oceanic, basalt-hosted subsurface ecosystem from Juan de Fuca Ridge flank, Pacific Ocean, CORK Borehole 1362A_J2.573",DOE Joint Genome Institute  (JGI),3300002481,Environmental,Aquatic,Marine,Hydrothermal vents,Diffuse flow,Environmental,Aquatic,Marine,Hydrothermal vents,Diffuse flow,,"Deep oceanic, basalt-hosted subsurface hydrothermal fluid","Deep subsurface and oceanic microbial communities from Witwatersrand Basin, South Africa, and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field"
3300009135,assembled,Ba1_10098554,Permanent Draft,"Marine sediment microbial communities from methane seeps within Hudson Canyon, US Atlantic Margin","Marine sediment microbial communities from methane seeps within Hudson Canyon, US Atlantic Margin - Hudson Canyon PC-16 382 cmbsf",Oregon State University,3300009135,Environmental,Aquatic,Marine,Cold seeps,Sediment,Environmental,Aquatic,Marine,Cold seeps,Sediment,,Marine sediment,"Marine sediment microbial communities from methane seeps within Hudson Canyon, US Atlantic Margin"
3300050342,assembled,Ba2oil_10089231,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from Yellowstone National Park, WY, United States - YNP-CB-052-1 ( (v2) (version 2)",DOE Joint Genome Institute  (JGI),3300050342,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,,sediment,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States"
3300001688,assembled,Ba2oil_10102501,Permanent Draft,"Activated sludge microbial communities from the University of Illinois, USA, from bioreactors seeded with cattle waste","Activated sludge microbial communities from the University of Illinois, USA - seeded with cattle waste",,3300001688,Engineered,Wastewater,Nutrient removal,Dissolved organics (anaerobic),Activated sludge,Engineered,Wastewater,Nutrient removal,Dissolved organics (anaerobic),Activated sludge,,Activated sludge,"Activated sludge microbial communities from the University of Illinois, USA, from bioreactors seeded with cattle waste"
3300001682,assembled,Ba2Water_10228053,Permanent Draft,"Activated sludge microbial communities from the University of Illinois, USA, from bioreactors seeded with cattle waste","Activated sludge microbial communities from the University of Illinois, USA - seeded with cattle waste",,3300001682,Engineered,Wastewater,Nutrient removal,Dissolved organics (anaerobic),Activated sludge,Engineered,Wastewater,Nutrient removal,Dissolved organics (anaerobic),Activated sludge,,Activated sludge,"Activated sludge microbial communities from the University of Illinois, USA, from bioreactors seeded with cattle waste"
3300047185,assembled,Bac131567_10688117,Permanent Draft,"Peatland microbial communities from Stordalen Mire, Sweden","Lake sediment microbial communities from Stordalen Mire, Sweden - 2017 IH01_21cm",DOE Joint Genome Institute  (JGI),3300047185,Environmental,Aquatic,Freshwater,Lake,Sediment,Environmental,Aquatic,Freshwater,Lake,Sediment,,Lake sediment,"Peatland microbial communities from Stordalen Mire, Sweden"
3300045900,assembled,BDMC2_00286450,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_02","University of Wisconsin, Madison",3300045900,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,,hot spring sediment,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States"
2730023674,assembled,BDMCk91_10732110,,,,,,,,,,,,,,,,,,
3300057014,assembled,bg3kmer60_100014335,Permanent Draft,"Soil microbial communities from Satilla River various tidal marshes, Georgia, USA","Soil microbial communities from Satilla River freshwater marsh, Georgia, USA - F2L_40_42",DOE Joint Genome Institute  (JGI),3300057014,Environmental,Terrestrial,Soil,Wetlands,Unclassified,Environmental,Terrestrial,Soil,Wetlands,Unclassified,,Soil,"Soil microbial communities from Satilla River various tidal marshes, Georgia, USA"
3300033150,assembled,bg3kmer60_100040113,Permanent Draft,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico","Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico - Megamat, Core 4486-22, Meg22, 14-16 cm",Michigan State University,3300033150,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,marine sediment,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico"
3300033148,assembled,bg3kmer60_10006328,Permanent Draft,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico","Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico - Megamat, Core 4486-22, Meg22, 8-10 cm",Michigan State University,3300033148,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,marine sediment,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico"
3300035659,assembled,bg3kmer60_10231581,Permanent Draft,Extremophilic microbial mat communities from USA and Mexico,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA - YL18G_13-A",DOE Joint Genome Institute  (JGI),3300035659,Environmental,Aquatic,Freshwater,Lake,Sediment,Environmental,Aquatic,Freshwater,Lake,Sediment,,sediment,Extremophilic microbial mat communities from USA and Mexico
3300024353,assembled,BMHB2_0081.00005840,Permanent Draft,Deep subsurface microbial communities from various oceans to uncover new lineages of life (NeLLi),"Deep subsurface microbial communities from Anholt, Denmark to uncover new lineages of life (NeLLi) - Anholt_01485 metaG (SPAdes) (version 2)",DOE Joint Genome Institute  (JGI),3300024353,Environmental,Aquatic,Marine,Oceanic,Sediment,Environmental,Aquatic,Marine,Oceanic,Sediment,,Deep subsurface,Deep subsurface microbial communities from various oceans to uncover new lineages of life (NeLLi)
3300058131,assembled,BMHB2_0276.00000050,Permanent Draft,Lake microbial communities from Canada,"Sediment microbial communities from the Mixedwood Plains Ecozone, Canada - bottom sediment 08-148 metaSPAdes",Genome Quebec,3300058131,Environmental,Aquatic,Freshwater,Lake,Sediment,Environmental,Aquatic,Freshwater,Lake,Sediment,,Sediment,Lake microbial communities from Canada
3300051162,assembled,BMHB2_0344.00013690,Permanent Draft,"Soil microbial communities from wetlands in Washington, USA","Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW1_C2_Mid",DOE Joint Genome Institute  (JGI),3300051162,Environmental,Aquatic,Freshwater,Wetlands,Soil,Environmental,Aquatic,Freshwater,Wetlands,Soil,,soil,"Soil microbial communities from wetlands in Washington, USA"
3300051019,assembled,BMHB2_0510.00005710,Permanent Draft,"Soil microbial communities from wetlands in Washington, USA","Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW1_C2_Btm",DOE Joint Genome Institute  (JGI),3300051019,Environmental,Aquatic,Freshwater,Wetlands,Soil,Environmental,Aquatic,Freshwater,Wetlands,Soil,,soil,"Soil microbial communities from wetlands in Washington, USA"
3300033150,assembled,BMHB2_0551.00001890,Permanent Draft,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico","Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico - Megamat, Core 4486-22, Meg22, 14-16 cm",Michigan State University,3300033150,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,marine sediment,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico"
3300032118,assembled,BMHB2_0767.00004290,Permanent Draft,Extremophilic microbial mat communities from USA and Mexico,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA - YL17G05_15",DOE Joint Genome Institute  (JGI),3300032118,Environmental,Aquatic,Freshwater,Lake,Sediment,Environmental,Aquatic,Freshwater,Lake,Sediment,,sediment,Extremophilic microbial mat communities from USA and Mexico
3300032118,assembled,BMHB2_0823.00009910,Permanent Draft,Extremophilic microbial mat communities from USA and Mexico,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA - YL17G05_15",DOE Joint Genome Institute  (JGI),3300032118,Environmental,Aquatic,Freshwater,Lake,Sediment,Environmental,Aquatic,Freshwater,Lake,Sediment,,sediment,Extremophilic microbial mat communities from USA and Mexico
3300032070,assembled,BMHB2_0824.00009840,Permanent Draft,Extremophilic microbial mat communities from USA and Mexico,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA - YL17G06_20",DOE Joint Genome Institute  (JGI),3300032070,Environmental,Aquatic,Freshwater,Lake,Sediment,Environmental,Aquatic,Freshwater,Lake,Sediment,,sediment,Extremophilic microbial mat communities from USA and Mexico
3300031885,assembled,BMHB2_0825.00009270,Permanent Draft,Extremophilic microbial mat communities from USA and Mexico,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA - YL17G09_36",DOE Joint Genome Institute  (JGI),3300031885,Environmental,Aquatic,Freshwater,Lake,Sediment,Environmental,Aquatic,Freshwater,Lake,Sediment,,sediment,Extremophilic microbial mat communities from USA and Mexico
3300031876,assembled,BMHB2_0947.00009080,Permanent Draft,"Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia","Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia - TDP5",DOE Joint Genome Institute  (JGI),3300031876,Environmental,Aquatic,Freshwater,Lake,Sediment,Environmental,Aquatic,Freshwater,Lake,Sediment,,sediment,"Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia"
3300031707,assembled,BMHB3_01847860,Permanent Draft,Extremophilic microbial mat communities from USA and Mexico,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA - YL17G12_20",DOE Joint Genome Institute  (JGI),3300031707,Environmental,Aquatic,Freshwater,Lake,Sediment,Environmental,Aquatic,Freshwater,Lake,Sediment,,sediment,Extremophilic microbial mat communities from USA and Mexico
3300033150,assembled,C3382575__gene_307130,Permanent Draft,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico","Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico - Megamat, Core 4486-22, Meg22, 14-16 cm",Michigan State University,3300033150,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,marine sediment,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico"
